File Name,/Volumes/SONY_8X/qPCR/LC 15 FEB 2024_20240215_114817.eds,,,,,,,,,,,,,,,,,,,,
151,G7,ISG15 DDC,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,25.12025994,25.06998214,0.970064432,0.071103539,TRUE,0.353398052,TRUE,3,19,,,,,FALSE
152,G8,ISG15 DDC,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,25.01970435,25.06998214,0.978386233,0.071103539,TRUE,0.353398052,TRUE,3,19,,,,,FALSE
153,G9,,,,,,,,,,,,,,,,,,,,
154,G10,ISG15 ++,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,24.95988932,25.08211981,0.98512341,0.172860025,TRUE,0.353398052,TRUE,3,18,,,,,FALSE
155,G11,ISG15 ++,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,25.20435031,25.08211981,0.974431154,0.172860025,TRUE,0.353398052,TRUE,3,19,,,,,FALSE
156,G12,,,,,,,,,,,,,,,,,,,,
157,G13,,,,,,,,,,,,,,,,,,,,
158,G14,,,,,,,,,,,,,,,,,,,,
159,G15,,,,,,,,,,,,,,,,,,,,
160,G16,,,,,,,,,,,,,,,,,,,,
161,G17,,,,,,,,,,,,,,,,,,,,
162,G18,,,,,,,,,,,,,,,,,,,,
163,G19,,,,,,,,,,,,,,,,,,,,
164,G20,,,,,,,,,,,,,,,,,,,,
165,G21,,,,,,,,,,,,,,,,,,,,
166,G22,,,,,,,,,,,,,,,,,,,,
167,G23,,,,,,,,,,,,,,,,,,,,
168,G24,,,,,,,,,,,,,,,,,,,,
169,H1,,,,,,,,,,,,,,,,,,,,
170,H2,,,,,,,,,,,,,,,,,,,,
171,H3,,,,,,,,,,,,,,,,,,,,
172,H4,,,,,,,,,,,,,,,,,,,,
173,H5,,,,,,,,,,,,,,,,,,,,
174,H6,,,,,,,,,,,,,,,,,,,,
175,H7,,,,,,,,,,,,,,,,,,,,
176,H8,,,,,,,,,,,,,,,,,,,,
177,H9,,,,,,,,,,,,,,,,,,,,
178,H10,,,,,,,,,,,,,,,,,,,,
179,H11,,,,,,,,,,,,,,,,,,,,
180,H12,,,,,,,,,,,,,,,,,,,,
181,H13,,,,,,,,,,,,,,,,,,,,
182,H14,,,,,,,,,,,,,,,,,,,,
183,H15,,,,,,,,,,,,,,,,,,,,
184,H16,,,,,,,,,,,,,,,,,,,,
185,H17,,,,,,,,,,,,,,,,,,,,
186,H18,,,,,,,,,,,,,,,,,,,,
187,H19,,,,,,,,,,,,,,,,,,,,
188,H20,,,,,,,,,,,,,,,,,,,,
189,H21,,,,,,,,,,,,,,,,,,,,
190,H22,,,,,,,,,,,,,,,,,,,,
191,H23,,,,,,,,,,,,,,,,,,,,
192,H24,,,,,,,,,,,,,,,,,,,,
193,I1,USP18,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,18.04208659,18.27696171,0.974603339,0.332163571,TRUE,0.493090908,TRUE,3,11,,,,,FALSE
194,I2,USP18,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,18.51183682,18.27696171,0.982507784,0.332163571,TRUE,0.493090908,TRUE,3,12,,,,,FALSE
195,I3,,,,,,,,,,,,,,,,,,,,
196,I4,USP18 IFN,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,18.05509203,18.06386597,0.980580466,0.012408211,TRUE,0.493090908,TRUE,3,10,,,,,FALSE
197,I5,USP18 IFN,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,18.0726399,18.06386597,0.974116641,0.012408211,TRUE,0.493090908,TRUE,3,11,,,,,FALSE
198,I6,,,,,,,,,,,,,,,,,,,,
199,I7,USP18 DDC,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,20.60851616,20.71930547,0.98718872,0.156679752,TRUE,0.493090908,TRUE,3,14,,,,,FALSE
200,I8,USP18 DDC,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,20.83009479,20.71930547,0.979187554,0.156679752,TRUE,0.493090908,TRUE,3,14,,,,,FALSE
201,I9,,,,,,,,,,,,,,,,,,,,
202,I10,USP18 ++,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,20.00831716,20.02940842,0.981888599,0.029827557,TRUE,0.493090908,TRUE,3,13,,,,,FALSE
203,I11,USP18 ++,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,20.05049969,20.02940842,0.982434292,0.029827557,TRUE,0.493090908,TRUE,3,13,,,,,FALSE
204,I12,,,,,,,,,,,,,,,,,,,,
205,I13,,,,,,,,,,,,,,,,,,,,
206,I14,,,,,,,,,,,,,,,,,,,,
207,I15,,,,,,,,,,,,,,,,,,,,
208,I16,,,,,,,,,,,,,,,,,,,,
209,I17,,,,,,,,,,,,,,,,,,,,
210,I18,,,,,,,,,,,,,,,,,,,,
211,I19,,,,,,,,,,,,,,,,,,,,
212,I20,,,,,,,,,,,,,,,,,,,,
213,I21,,,,,,,,,,,,,,,,,,,,
214,I22,,,,,,,,,,,,,,,,,,,,
215,I23,,,,,,,,,,,,,,,,,,,,
216,I24,,,,,,,,,,,,,,,,,,,,
217,J1,USP18,ND2,UNKNOWN,FAM,NFQ-MGB,Amp,18.22237568,18.4203245,0.971596446,0.2799419,TRUE,0.361380385,TRUE,3,12,,,,,FALSE
218,J2,USP18,ND2,UNKNOWN,FAM,NFQ-MGB,Amp,18.61827332,18.4203245,0.979663185,0.2799419,TRUE,0.361380385,TRUE,3,12,,,,,FALSE
219,J3,,,,,,,,,,,,,,,,,,,,
220,J4,USP18 IFN,ND2,UNKNOWN,FAM,NFQ-MGB,Amp,18.07332205,18.13378799,0.979775573,0.085511757,TRUE,0.361380385,TRUE,3,12,,,,,FALSE
221,J5,USP18 IFN,ND2,UNKNOWN,FAM,NFQ-MGB,Amp,18.19425394,18.13378799,0.977161447,0.085511757,TRUE,0.361380385,TRUE,3,12,,,,,FALSE
222,J6,,,,,,,,,,,,,,,,,,,,
223,J7,USP18 DDC,ND2,UNKNOWN,FAM,NFQ-MGB,Amp,20.9803615,21.23092561,0.984821446,0.354351162,TRUE,0.361380385,TRUE,3,14,,,,,FALSE
224,J8,USP18 DDC,ND2,UNKNOWN,FAM,NFQ-MGB,Amp,21.48148972,21.23092561,0.97748729,0.354351162,TRUE,0.361380385,TRUE,3,15,,,,,FALSE
225,J9,,,,,,,,,,,,,,,,,,,,
226,J10,USP18 ++,ND2,UNKNOWN,FAM,NFQ-MGB,Amp,19.65179518,19.79308464,0.982955508,0.199813474,TRUE,0.361380385,TRUE,3,12,,,,,FALSE
227,J11,USP18 ++,ND2,UNKNOWN,FAM,NFQ-MGB,Amp,19.9343741,19.79308464,0.981755058,0.199813474,TRUE,0.361380385,TRUE,3,14,,,,,FALSE
228,J12,,,,,,,,,,,,,,,,,,,,
229,J13,,,,,,,,,,,,,,,,,,,,
230,J14,,,,,,,,,,,,,,,,,,,,
231,J15,,,,,,,,,,,,,,,,,,,,
232,J16,,,,,,,,,,,,,,,,,,,,
233,J17,,,,,,,,,,,,,,,,,,,,
234,J18,,,,,,,,,,,,,,,,,,,,
235,J19,,,,,,,,,,,,,,,,,,,,
236,J20,,,,,,,,,,,,,,,,,,,,
237,J21,,,,,,,,,,,,,,,,,,,,
238,J22,,,,,,,,,,,,,,,,,,,,
239,J23,,,,,,,,,,,,,,,,,,,,
240,J24,,,,,,,,,,,,,,,,,,,,
241,K1,USP18,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,25.94162223,26.10846161,0.974969241,0.235946512,TRUE,0.353398052,TRUE,3,19,,,,,FALSE
242,K2,USP18,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,26.27530099,26.10846161,0.971224087,0.235946512,TRUE,0.353398052,TRUE,3,19,,,,,FALSE
243,K3,,,,,,,,,,,,,,,,,,,,
244,K4,USP18 IFN,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,25.28315696,25.21621427,0.974077052,0.094671255,TRUE,0.353398052,TRUE,3,19,,,,,FALSE
245,K5,USP18 IFN,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,25.14927159,25.21621427,0.983461017,0.094671255,TRUE,0.353398052,TRUE,3,19,,,,,FALSE
246,K6,,,,,,,,,,,,,,,,,,,,
247,K7,USP18 DDC,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,25.29561474,25.81017426,0.973798297,0.727697042,TRUE,0.353398052,TRUE,3,19,,,,,FALSE
248,K8,USP18 DDC,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,26.32473377,25.81017426,0.970279864,0.727697042,TRUE,0.353398052,TRUE,3,20,,,,,FALSE
249,K9,,,,,,,,,,,,,,,,,,,,
250,K10,USP18 ++,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,25.1761103,25.05855335,0.974276412,0.166250631,TRUE,0.353398052,TRUE,3,19,,,,,FALSE
251,K11,USP18 ++,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,24.9409964,25.05855335,0.971812511,0.166250631,TRUE,0.353398052,TRUE,3,18,,,,,FALSE
252,K12,,,,,,,,,,,,,,,,,,,,
253,K13,,,,,,,,,,,,,,,,,,,,
254,K14,,,,,,,,,,,,,,,,,,,,
255,K15,,,,,,,,,,,,,,,,,,,,
256,K16,,,,,,,,,,,,,,,,,,,,
257,K17,,,,,,,,,,,,,,,,,,,,
258,K18,,,,,,,,,,,,,,,,,,,,
259,K19,,,,,,,,,,,,,,,,,,,,
260,K20,,,,,,,,,,,,,,,,,,,,
261,K21,,,,,,,,,,,,,,,,,,,,
262,K22,,,,,,,,,,,,,,,,,,,,
263,K23,,,,,,,,,,,,,,,,,,,,
264,K24,,,,,,,,,,,,,,,,,,,,
265,L1,,,,,,,,,,,,,,,,,,,,
266,L2,,,,,,,,,,,,,,,,,,,,
267,L3,,,,,,,,,,,,,,,,,,,,
268,L4,,,,,,,,,,,,,,,,,,,,
269,L5,,,,,,,,,,,,,,,,,,,,
270,L6,,,,,,,,,,,,,,,,,,,,
271,L7,,,,,,,,,,,,,,,,,,,,
272,L8,,,,,,,,,,,,,,,,,,,,
273,L9,,,,,,,,,,,,,,,,,,,,
274,L10,,,,,,,,,,,,,,,,,,,,
275,L11,,,,,,,,,,,,,,,,,,,,
276,L12,,,,,,,,,,,,,,,,,,,,
277,L13,,,,,,,,,,,,,,,,,,,,
278,L14,,,,,,,,,,,,,,,,,,,,
279,L15,,,,,,,,,,,,,,,,,,,,
280,L16,,,,,,,,,,,,,,,,,,,,
281,L17,,,,,,,,,,,,,,,,,,,,
282,L18,,,,,,,,,,,,,,,,,,,,
283,L19,,,,,,,,,,,,,,,,,,,,
284,L20,,,,,,,,,,,,,,,,,,,,
285,L21,,,,,,,,,,,,,,,,,,,,
286,L22,,,,,,,,,,,,,,,,,,,,
287,L23,,,,,,,,,,,,,,,,,,,,
288,L24,,,,,,,,,,,,,,,,,,,,
289,M1,NTC,CYB,UNKNOWN,FAM,NFQ-MGB,No Amp,Undetermined,,0,,TRUE,0.493090908,TRUE,3,39,,,,,FALSE
290,M2,NTC,CYB,UNKNOWN,FAM,NFQ-MGB,No Amp,Undetermined,,0,,TRUE,0.493090908,TRUE,3,39,,,,,FALSE
291,M3,NTC,CYB,UNKNOWN,FAM,NFQ-MGB,No Amp,Undetermined,,0,,TRUE,0.493090908,TRUE,3,39,,,,,FALSE
292,M4,NTC,ND2,UNKNOWN,FAM,NFQ-MGB,No Amp,Undetermined,,0,,TRUE,0.361380385,TRUE,3,39,,,,,FALSE
293,M5,NTC,ND2,UNKNOWN,FAM,NFQ-MGB,No Amp,Undetermined,,0,,TRUE,0.361380385,TRUE,3,39,,,,,FALSE
294,M6,NTC,ND2,UNKNOWN,FAM,NFQ-MGB,No Amp,Undetermined,,0,,TRUE,0.361380385,TRUE,3,39,,,,,FALSE
295,M7,NTC,ACTIN,UNKNOWN,FAM,NFQ-MGB,No Amp,Undetermined,,0,,TRUE,0.353398052,TRUE,3,39,,,,,FALSE
296,M8,NTC,ACTIN,UNKNOWN,FAM,NFQ-MGB,No Amp,Undetermined,,0,,TRUE,0.353398052,TRUE,3,39,,,,,FALSE
297,M9,NTC,ACTIN,UNKNOWN,FAM,NFQ-MGB,No Amp,Undetermined,,0,,TRUE,0.353398052,TRUE,3,39,,,,,FALSE
298,M10,,,,,,,,,,,,,,,,,,,,
299,M11,,,,,,,,,,,,,,,,,,,,
300,M12,,,,,,,,,,,,,,,,,,,,
301,M13,,,,,,,,,,,,,,,,,,,,
302,M14,,,,,,,,,,,,,,,,,,,,
303,M15,,,,,,,,,,,,,,,,,,,,
304,M16,,,,,,,,,,,,,,,,,,,,
305,M17,,,,,,,,,,,,,,,,,,,,
306,M18,,,,,,,,,,,,,,,,,,,,
307,M19,,,,,,,,,,,,,,,,,,,,
308,M20,,,,,,,,,,,,,,,,,,,,
309,M21,,,,,,,,,,,,,,,,,,,,
310,M22,,,,,,,,,,,,,,,,,,,,
311,M23,,,,,,,,,,,,,,,,,,,,
312,M24,,,,,,,,,,,,,,,,,,,,
313,N1,,,,,,,,,,,,,,,,,,,,
314,N2,,,,,,,,,,,,,,,,,,,,
315,N3,,,,,,,,,,,,,,,,,,,,
316,N4,,,,,,,,,,,,,,,,,,,,
317,N5,,,,,,,,,,,,,,,,,,,,
318,N6,,,,,,,,,,,,,,,,,,,,
319,N7,,,,,,,,,,,,,,,,,,,,
320,N8,,,,,,,,,,,,,,,,,,,,
321,N9,,,,,,,,,,,,,,,,,,,,
322,N10,,,,,,,,,,,,,,,,,,,,
323,N11,,,,,,,,,,,,,,,,,,,,
324,N12,,,,,,,,,,,,,,,,,,,,
325,N13,,,,,,,,,,,,,,,,,,,,
326,N14,,,,,,,,,,,,,,,,,,,,
327,N15,,,,,,,,,,,,,,,,,,,,
328,N16,,,,,,,,,,,,,,,,,,,,
329,N17,,,,,,,,,,,,,,,,,,,,
330,N18,,,,,,,,,,,,,,,,,,,,
331,N19,,,,,,,,,,,,,,,,,,,,
332,N20,,,,,,,,,,,,,,,,,,,,
333,N21,,,,,,,,,,,,,,,,,,,,
334,N22,,,,,,,,,,,,,,,,,,,,
335,N23,,,,,,,,,,,,,,,,,,,,
336,N24,,,,,,,,,,,,,,,,,,,,
337,O1,,,,,,,,,,,,,,,,,,,,
338,O2,,,,,,,,,,,,,,,,,,,,
339,O3,,,,,,,,,,,,,,,,,,,,
340,O4,,,,,,,,,,,,,,,,,,,,
341,O5,,,,,,,,,,,,,,,,,,,,
342,O6,,,,,,,,,,,,,,,,,,,,
343,O7,,,,,,,,,,,,,,,,,,,,
344,O8,,,,,,,,,,,,,,,,,,,,
345,O9,,,,,,,,,,,,,,,,,,,,
346,O10,,,,,,,,,,,,,,,,,,,,
347,O11,,,,,,,,,,,,,,,,,,,,
348,O12,,,,,,,,,,,,,,,,,,,,
349,O13,,,,,,,,,,,,,,,,,,,,
350,O14,,,,,,,,,,,,,,,,,,,,
351,O15,,,,,,,,,,,,,,,,,,,,
352,O16,,,,,,,,,,,,,,,,,,,,
353,O17,,,,,,,,,,,,,,,,,,,,
354,O18,,,,,,,,,,,,,,,,,,,,
355,O19,,,,,,,,,,,,,,,,,,,,
356,O20,,,,,,,,,,,,,,,,,,,,
357,O21,,,,,,,,,,,,,,,,,,,,
358,O22,,,,,,,,,,,,,,,,,,,,
359,O23,,,,,,,,,,,,,,,,,,,,
360,O24,,,,,,,,,,,,,,,,,,,,
361,P1,,,,,,,,,,,,,,,,,,,,
362,P2,,,,,,,,,,,,,,,,,,,,
363,P3,,,,,,,,,,,,,,,,,,,,
364,P4,,,,,,,,,,,,,,,,,,,,
365,P5,,,,,,,,,,,,,,,,,,,,
366,P6,,,,,,,,,,,,,,,,,,,,
367,P7,,,,,,,,,,,,,,,,,,,,
368,P8,,,,,,,,,,,,,,,,,,,,
369,P9,,,,,,,,,,,,,,,,,,,,
370,P10,,,,,,,,,,,,,,,,,,,,
371,P11,,,,,,,,,,,,,,,,,,,,
372,P12,,,,,,,,,,,,,,,,,,,,
373,P13,,,,,,,,,,,,,,,,,,,,
374,P14,,,,,,,,,,,,,,,,,,,,
375,P15,,,,,,,,,,,,,,,,,,,,
376,P16,,,,,,,,,,,,,,,,,,,,
377,P17,,,,,,,,,,,,,,,,,,,,
378,P18,,,,,,,,,,,,,,,,,,,,
379,P19,,,,,,,,,,,,,,,,,,,,
380,P20,,,,,,,,,,,,,,,,,,,,
381,P21,,,,,,,,,,,,,,,,,,,,
382,P22,,,,,,,,,,,,,,,,,,,,
383,P23,,,,,,,,,,,,,,,,,,,,
384,P24,,,,,,,,,,,,,,,,,,,,